Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Rebecca Sullivan,36,82000000.0,187741045.65,Medium-term,high,Under 6 year
Cassandra Stevens,27,57000000.0,110312180.35,Long-term,low,Under 1 year
Christine Harper,24,119000000.0,284817054.81,Medium-term,low,Under 6 year
Carlos Mcintosh,53,77000000.0,144102121.51,Short-term,low,Under 5 year
Helen Gonzalez,44,60000000.0,96476777.06,Medium-term,high,Under 3 year
Adriana Rangel,47,128000000.0,229022041.08,Medium-term,low,Under 0 year
Jenna Gomez,60,33000000.0,75277804.53,Medium-term,low,Under 9 year
Mrs. Karen Buckley MD,65,55000000.0,104330510.96,Medium-term,low,Under 3 year
Jose Steele,40,93000000.0,261063965.61,Medium-term,low,Under 9 year
Sabrina Martinez,38,10000000.0,16880624.52,Short-term,high,Under 7 year
Robert Morton,62,75000000.0,179814401.47,Long-term,low,Under 1 year
Amy Donaldson,36,44000000.0,107643498.11,Long-term,medium,Under 3 year
Melissa Johnson,50,83000000.0,146181332.2,Medium-term,high,Under 9 year
Ray Martinez,64,36000000.0,54273951.72,Long-term,medium,Under 1 year
Janice Thomas,56,77000000.0,145743945.1,Long-term,high,Under 0 year
Kristi Duffy,22,26000000.0,65199519.65,Medium-term,low,Under 8 year
Laura Adams MD,59,89000000.0,243179922.33,Long-term,low,Under 8 year
Lisa Chavez,51,123000000.0,360610311.77,Long-term,medium,Under 6 year
Richard Gillespie,59,73000000.0,139927355.99,Long-term,low,Under 0 year
Laura Ponce,60,142000000.0,239806741.53,Medium-term,high,Under 0 year
Emily Harris,56,84000000.0,151536972.53,Short-term,high,Under 6 year
Alyssa Wilson,29,77000000.0,189806803.34,Short-term,low,Under 3 year
Rhonda Hinton,63,11000000.0,28954600.46,Long-term,low,Under 6 year
Oscar Drake,44,26000000.0,76912910.31,Medium-term,high,Under 4 year
April Hughes,33,32000000.0,68458857.91,Short-term,high,Under 9 year
Erin Welch,23,13000000.0,26029487.67,Medium-term,medium,Under 3 year
Savannah Joseph,58,18000000.0,45271814.14,Medium-term,low,Under 6 year
Michael Smith,53,144000000.0,314409724.64,Short-term,low,Under 0 year
Daniel Raymond,34,37000000.0,78534688.19,Long-term,high,Under 2 year
Shelly Logan,39,137000000.0,355491376.6,Medium-term,high,Under 4 year
Jessica Wood,44,33000000.0,50233414.63,Short-term,high,Under 8 year
Jessica Lopez,44,117000000.0,192752190.65,Long-term,high,Under 3 year
Thomas Hudson,32,150000000.0,232407732.35,Medium-term,high,Under 1 year
Jennifer Graham,42,147000000.0,427075189.58,Medium-term,medium,Under 3 year
Sonya Scott,36,116000000.0,340451170.7,Medium-term,medium,Under 4 year
Mindy Collins,59,97000000.0,250088841.04,Short-term,low,Under 1 year
Diane Bennett,45,35000000.0,76542076.79,Long-term,high,Under 5 year
Jerry Norman,35,135000000.0,359993461.44,Long-term,medium,Under 2 year
Eric Cole,36,40000000.0,83233096.09,Short-term,low,Under 9 year
Joshua James,56,49000000.0,114437587.73,Long-term,medium,Under 2 year
Anthony Smith,57,44000000.0,94923178.34,Short-term,low,Under 0 year
Peggy Boone MD,55,135000000.0,354160934.41,Medium-term,low,Under 8 year
Charles Blake,57,29000000.0,53038572.08,Medium-term,medium,Under 8 year
Kathryn Johnson,63,110000000.0,290568820.46,Short-term,low,Under 3 year
Allen Clark,39,21000000.0,50432474.66,Medium-term,medium,Under 5 year
Alexander Morgan,24,62000000.0,129993188.63,Long-term,medium,Under 2 year
April Smith,51,113000000.0,266786766.65,Short-term,high,Under 7 year
Becky Cummings,29,12000000.0,22036061.05,Medium-term,low,Under 4 year
Jerry Maxwell,23,150000000.0,345836178.77,Short-term,medium,Under 3 year
David Mendoza,44,82000000.0,231830542.46,Medium-term,high,Under 9 year
Mark Lindsey,46,103000000.0,241307298.08,Long-term,medium,Under 4 year
